ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777906480.048,pflash_load,0,48,0,28.86,230.00,1,24576,0
1777906480.048,pflash_load,1,53,0,22.93,230.00,1,24576,0
1777906481.099,pflash_load,0,52,0,62.34,230.00,1700,24576,0
1777906481.099,pflash_load,1,53,0,25.88,230.00,1,24576,0
1777906482.142,pflash_load,0,52,0,128.56,230.00,1700,24576,0
1777906482.142,pflash_load,1,53,0,26.76,230.00,1,24576,0
1777906483.184,pflash_load,0,52,0,127.68,230.00,1700,24576,0
1777906483.184,pflash_load,1,53,0,24.05,230.00,1,24576,0
1777906484.226,pflash_load,0,53,0,127.82,230.00,1700,24576,0
1777906484.226,pflash_load,1,53,0,23.36,230.00,1,24576,0
1777906485.268,pflash_load,0,53,0,128.01,230.00,1700,24576,0
1777906485.268,pflash_load,1,53,0,23.20,230.00,1,24576,0
1777906486.310,pflash_load,0,53,57,128.18,230.00,1700,24576,0
1777906486.310,pflash_load,1,53,0,23.31,230.00,1,24576,0
1777906487.352,pflash_load,0,53,51,129.74,230.00,1700,24576,0
1777906487.352,pflash_load,1,53,0,23.34,230.00,1,24576,0
1777906488.407,pflash_load,0,53,53,130.16,230.00,1700,24576,0
1777906488.407,pflash_load,1,52,0,23.22,230.00,1,24576,0
1777906489.454,pflash_load,0,53,55,129.28,230.00,1700,24576,0
1777906489.454,pflash_load,1,53,0,23.16,230.00,1,24576,0
1777906490.496,pflash_load,0,53,57,129.52,230.00,1700,24576,0
1777906490.496,pflash_load,1,53,0,23.53,230.00,1,24576,0
1777906491.539,pflash_load,0,53,57,129.64,230.00,1700,24576,0
1777906491.539,pflash_load,1,53,0,23.48,230.00,1,24576,0
1777906492.580,pflash_load,0,54,58,129.72,230.00,1700,24576,0
1777906492.580,pflash_load,1,52,0,23.42,230.00,1,24576,0
1777906493.622,pflash_load,0,54,58,129.79,230.00,1700,24576,0
1777906493.622,pflash_load,1,52,0,23.36,230.00,1,24576,0
1777906494.663,pflash_load,0,54,58,129.85,230.00,1700,24576,0
1777906494.663,pflash_load,1,52,0,23.27,230.00,1,24576,0
1777906495.706,pflash_load,0,54,58,129.95,230.00,1700,24576,0
1777906495.706,pflash_load,1,52,0,23.16,230.00,1,24576,0
1777906496.748,pflash_load,0,54,58,129.99,230.00,1700,24576,0
1777906496.748,pflash_load,1,52,0,23.13,230.00,1,24576,0
1777906497.791,pflash_load,0,54,59,129.97,230.00,1700,24576,0
1777906497.791,pflash_load,1,52,0,23.31,230.00,1,24576,0
1777906498.835,pflash_load,0,54,59,130.06,230.00,1700,24576,0
1777906498.835,pflash_load,1,52,0,23.47,230.00,1,24576,0
1777906499.877,pflash_load,0,54,59,130.10,230.00,1700,24576,0
