ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777907191.039,pflash_load,0,43,0,27.92,230.00,1,24576,0
1777907191.039,pflash_load,1,49,0,22.60,230.00,1,24576,0
1777907192.089,niah_ctx131068,0,47,0,83.13,230.00,18690,24576,17
1777907192.089,niah_ctx131068,1,50,0,25.62,230.00,1,24576,0
1777907193.135,niah_ctx131068,0,51,0,214.50,230.00,18944,24576,99
1777907193.135,niah_ctx131068,1,50,0,26.32,230.00,1,24576,0
1777907194.195,niah_ctx131068,0,53,0,227.52,230.00,19138,24576,100
1777907194.195,niah_ctx131068,1,50,0,23.25,230.00,1,24576,0
1777907195.247,niah_ctx131068,0,53,0,229.01,230.00,19138,24576,99
1777907195.247,niah_ctx131068,1,49,0,22.55,230.00,1,24576,0
1777907196.291,niah_ctx131068,0,54,0,227.81,230.00,18944,24576,100
1777907196.291,niah_ctx131068,1,49,0,22.45,230.00,1,24576,0
1777907197.337,niah_ctx131068,0,53,56,229.25,230.00,19138,24576,99
1777907197.337,niah_ctx131068,1,49,0,22.45,230.00,1,24576,0
1777907198.384,niah_ctx131068,0,54,52,227.66,230.00,19138,24576,100
1777907198.384,niah_ctx131068,1,49,0,22.55,230.00,1,24576,0
1777907199.430,niah_ctx131068,0,54,54,229.18,230.00,18944,24576,99
1777907199.430,niah_ctx131068,1,49,0,22.46,230.00,1,24576,0
1777907200.474,niah_ctx131068,0,53,56,211.57,230.00,21024,24576,94
1777907200.474,niah_ctx131068,1,49,0,22.56,230.00,1,24576,0
1777907201.614,niah_ctx131068,0,53,58,186.76,230.00,21024,24576,93
1777907201.614,niah_ctx131068,1,49,0,22.60,230.00,1,24576,0
1777907202.805,niah_ctx131068,0,53,58,186.52,230.00,2048,24576,84
1777907202.805,niah_ctx131068,1,49,0,22.61,230.00,1,24576,0
